,T,S3/T,r_c,phi_esc
,7345,0,0,0
0,7345.2,5.082200877217650,0.45782753442695700,500.5676270091720
1,7345.233333333330,5.452734422845020,0.5688239417126660,538.2611375007760
2,7345.266666666670,5.85126990747064,0.53929152196209,576.4689659116850
3,7345.3,6.141236579279190,0.5106460681615230,610.4802838248940
4,7345.333333333330,6.477652236591170,0.48612452799660000,645.1925571761970
5,7345.366666666670,6.843505993341150,0.4572556478714720,680.7697398768000
6,7345.4,7.141810682936580,0.4246878464847950,711.7309261797710
7,7345.433333333330,7.435092113927160,0.3801537927757090,742.347696775767
8,7345.466666666670,7.7003368626045600,0.3644971795307450,771.3498352262760
9,7345.5,7.945192824947720,0.3785051651604100,799.5772812646900